# 第101回 事件列表

## 详细版事件列表
1. 白芸瑞到达琼州望海镇，走进望海楼酒楼吃饭，要了六样菜一壶酒自斟自饮
2. 一位年轻貌美的白衣女子陆小英走进酒楼，在白芸瑞斜对面坐下，只要了素菜
3. 琼州府恶霸曹世彪（花里魔王）带打手来到酒楼，掌柜伙计都畏惧不已
4. 曹世彪看中陆小英，派手下小三前去调戏并邀其陪酒
5. 陆小英严词拒绝，曹世彪亲自上前拦截并出言不逊
6. 白芸瑞挺身而出保护陆小英，喝问曹世彪等人
7. 曹世彪刚想动手，突然七窍流血暴毙，四个打手也同时死亡
8. 白芸瑞分析认为是有人暗中下毒手，怀疑与陆小英有关
9. 白芸瑞安抚掌柜，展示开封府龙边信票，命其报官
10. 官府前来验尸，见是开封府官员在场，不敢多事，将死因定为"暴病而亡"
11. 白芸瑞和陆小英作为当事人留下配合调查，直到日落西山
12. 白芸瑞找店住宿但全镇客满，只能前往镇外的五杨宝观借宿
13. 陆小英夜访白芸瑞，感谢其救命之恩并大胆表白，要嫁给白芸瑞
14. 白芸瑞拒绝并告知已有妻室盖飞侠，陆小英仍愿做偏房
15. 陆小英警告白芸瑞三仙岛危险如龙潭虎穴，劝其返回开封府
16. 白芸瑞坚持要上三仙岛探查夏遂良等人下落，陆小英表示若有危险会出手相助后离开
17. 次日白芸瑞雇船前往三仙岛，船家向其介绍三仙岛和三仙观的情况
18. 船家告知三仙观有三位厉害的观主：绝心一指定阴阳肖道成、飞天蜈蚣李道安、串地金蛇张道远
19. 白芸瑞到达三仙岛，准备上岛探查

## 简化版事件列表
1. 白芸瑞在望海楼遇到恶霸曹世彪调戏白衣女子陆小英，挺身而出保护她
2. 曹世彪及其打手突然暴毙，白芸瑞处理官府事宜并展示开封府身份
3. 白芸瑞借宿五杨观，陆小英夜访表白被拒，警告三仙岛危险
4. 白芸瑞坚持前往三仙岛，从船家口中得知三仙观三位厉害观主的信息
5. 白芸瑞抵达三仙岛，准备探查夏遂良等人下落

## 极简版事件列表
1. 白芸瑞望海楼救陆小英，恶霸暴毙
2. 陆小英夜访表白被拒，警告三仙岛危险
3. 白芸瑞抵达三仙岛，准备探查

## 绘图提示词
1. 【望海楼英雄救美】酒楼三楼内，白芸瑞站在中间拦住恶霸曹世彪，陆小英站在旁边，曹世彪大腹便便面露凶光，身后跟着几个打手。桌上摆着酒菜，掌柜和伙计躲在一边惊恐观望。画面充满紧张气氛。

2. 【夜访五杨观】夜晚的道观客房内，白芸瑞站在床边，一位身穿白衣的美貌女子（陆小英）坐在椅子上，表情复杂地看着白芸瑞。桌上点着蜡烛，窗外是夜色中的五棵白杨树。

3. 【乘船赴三仙岛】海面上一艘小船正破浪前行，白芸瑞背着手站在船中远眺，船家在船尾掌舵。远处可见三仙岛轮廓，岛上有天柱山隐约可见。天空晴朗，海风轻拂，白芸瑞表情坚毅。
