## 第137回详细版事件列表
1. 八王向白芸瑞宣布官复原职，白芸瑞拒绝并要求退隐回乡
2. 盖飞侠前来劝说，白芸瑞在夫人陪伴下回家
3. 刑部审讯慈光等罪犯，三法司抄拿晋王全家
4. 鲁世杰、柳金杰等六位英烈用上等棺椁成殓，赏银抚恤
5. 梅贵妃赐缢，晋王赵吉取消封爵贬往宜州安置
6. 王府长史赵喜等六人凌迟处死，全家没入官府为奴
7. 慈光等罪犯全部处死，大宋向天竺国发出抗议国书
8. 仁宗大集文武欲为白芸瑞公开昭雪，连派宣旨官均被拒绝
9. 徐良苦劝白芸瑞，以死者需报仇为由说服其上殿
10. 仁宗当着满朝文武向白芸瑞认错，宣布官复原职
11. 白春上殿受封三品将军，在开封府校尉队供职
12. 一个多月后，仁宗颁旨命蒋平、徐良、白芸瑞领军前往东海小蓬莱捉拿夏遂良
13. 蒋平等人商议请普渡、雪竹莲等高人相助，约定五月初五前到东海镇集合
14. 四月中旬，蒋平等一百多人起身奔赴小蓬莱，到达东海镇
15. 双钩大将马保成在东海镇开店迎接众人，并告知小蓬莱已有众多武林人士聚集
16. 蒋平宣布任何人不得到镇外走动，但房书安和白春决定私自前往小蓬莱探查
17. 白春向白芸瑞请令被拒，房书安提议私自行动
18. 二人越墙出店，来到码头寻找船只，船家因害怕均不肯前往
19. 长寿仙翁司马行天伪装船家，将二人骗上小船
20. 司马行天暴露身份，与二人在船上动手，弄翻小船
21. 司马行天将昏迷的房书安和白春带上小蓬莱
22. 夏遂良、昆仑僧回到小蓬莱碧霞宫，向武圣人于和编造谎言
23. 于和查看潘秉臣伤情后，识破夏遂良谎言，下令将其绑到桩撅上准备烧死

## 第137回简化版事件列表
1. 白芸瑞拒绝官复原职，经徐良苦劝后才勉强上殿见君
2. 仁宗公开向白芸瑞认错，白春受封三品将军
3. 蒋平、徐良、白芸瑞领军前往东海小蓬莱捉拿夏遂良
4. 房书安和白春私自前往小蓬莱探查，被司马行天擒获
5. 夏遂良向于和编造谎言被识破，将于和下令将其绑桩准备烧死

## 第137回极简版事件列表
1. 白芸瑞复职，白春受封
2. 蒋平等人前往东海小蓬莱，房书安、白春私探被擒
3. 夏遂良谎言被于和识破，即将被烧死

## 绘图提示词
1. 金殿昭雪：仁宗皇帝在金殿上向白芸瑞认错，白芸瑞身着武生衣帽，满朝文武站立两侧，气氛庄重。
2. 东海集结：蒋平、徐良、白芸瑞率领开封府一百多位英雄好汉到达东海镇，马保成带领伙计们热情迎接。
3. 私探蓬莱：房书安和白春在夜晚悄悄离开马家店，翻墙而出，准备私自前往小蓬莱探查。
4. 船上遇险：司马行天伪装船家，在船上与房书安、白春动手，小船剧烈摇晃，即将翻覆。
5. 碧霞宫问罪：武圣人于和坐在莲台上，脸色严厉，夏遂良被绑在桩撅上，七大护法站立两旁，气氛紧张。
