# 第57回 震八方弃暗投明 房书安绝处逢生

## 详细版（15条）
1. 震八方雷英在少华山举足轻重，他出手制止王顺杀害房书安
2. 雷英向冯魁章建议不能收留王顺，也不能杀害房书安，以免招来灭顶之灾
3. 冯魁章决定将房书安和王顺都软禁起来，以观察开封府的反应
4. 雷英回到自己的大寨，与小方朔方雕、铁刀大都督贺宾商议，认为少华山前途堪忧
5. 雷英透露自己与冯魁章貌合神离，冯魁章逐渐忘本，重用亲信排除异己
6. 雷英决定弃暗投明，投靠开封府，希望通过房书安搭桥联系
7. 雷英安排在夜深人静时将房书安带到自己的大寨，准备设宴款待
8. 雷英向房书安表明心迹，希望房书安能带他向开封府表达投诚之意
9. 房书安欣喜答应，雷英决定放他回去给徐良、蒋平等人送信
10. 雷英安排快船准备送房书安从后山江面离开
11. 上官清发现雷英反常，暗中偷听了他们的谈话并向冯魁章报告
12. 冯魁章率领众人在江边截住雷英等人，双方发生冲突
13. 冯云龙、冯云虎先后杀死方雕和贺宾，雷英悲愤交加
14. 雷英与冯氏兄弟交战，最终被擒；房书安跳江逃跑也被冯云彪、冯云汉抓住
15. 冯魁章下令将雷英和房书安乱刃分尸，二人命悬一线

## 简化版（5条）
1. 雷英制止王顺杀房书安，与冯魁章商议后决定将二人软禁
2. 雷英与方雕、贺宾密谋投靠开封府，打算通过房书安联系徐良等人
3. 雷英设宴款待房书安，表明投诚之意并准备送其离开送信
4. 上官清偷听并向冯魁章报告，冯魁章率人在江边截住雷英等人
5. 双方冲突中，方雕、贺宾被杀，雷英和房书安被擒，面临处决

## 极简版（3条）
1. 雷英劝说冯魁章不要收留王顺，却暗中计划投靠开封府
2. 雷英向房书安表明投诚之意，准备送其离开少华山
3. 冯魁章得知真相后截住众人，方雕、贺宾被杀，雷英和房书安被擒

## 绘图提示词（中文）
1. 少华山后寨大厅内，震八方雷英表情严肃地向房书安表明心迹，旁边站着方雕和贺宾，桌上摆满酒菜，窗外有人影偷听。场景要有紧张的氛围，人物表情各异，雷英诚恳，房书安惊喜，窗外的上官清鬼鬼祟祟。
2. 江边深夜，火光冲天，冯魁章率领众人截住雷英、房书安等人。冯云龙挥锤向方雕砸去，贺宾举刀冲上前，雷英舞动双鞭，房书安惊恐地看着这一切。场景要有战斗的紧张感，人物动作要生动，表情要激烈。
3. 战斗结束后，方雕和贺宾的尸体躺在地上，雷英被捆绑，房书安浑身湿透也被抓住。冯魁章气得浑身颤抖，手指着雷英怒骂，雷英则面无惧色。场景要有悲剧氛围，光影对比强烈，突出人物的绝望与愤怒。
