# 第132回 八贤王保本救忠良 众贼寇血洗南清宫

## 详细版事件列表（21条）
1. 八贤王赵德芳得知徐良、白芸瑞将被问斩，带着房书安匆匆赶到乐善宫
2. 八王爷命人不得对徐良等人施刑，进入乐善宫面见仁宗皇帝
3. 仁宗向八王说明白芸瑞酒醉寻事、徐良等夜入皇宫等情况
4. 八王质疑白芸瑞行为不端的真实性，认为此案必有冤情
5. 梅贵妃躲在卧室偷听，见八王为徐良等人求情，出面反对
6. 八王怒斥梅贵妃干涉朝政，欲用瓦面金锏教训她
7. 仁宗急忙劝解，命梅贵妃回卧室，同意释放徐良等五人
8. 八王建议将白芸瑞交刑部审问，房书安提议由八王亲自审问以保皇家声誉
9. 八王接受审问白芸瑞的任务，房书安和艾虎将白芸瑞从大理寺正卿孙立处带走
10. 八王带徐良、白芸瑞等人返回南清宫，安排白芸瑞在王府卫队看管下居住
11. 白芸瑞向八王讲述梅贵妃可能是天竺奸细，有颠覆大宋江山的企图
12. 八王给开封府蒋平送信，邀请派人旁听对白芸瑞的夜审
13. 夜审在南清宫花园赏花亭进行，徐良被假传消息骗离南清宫
14. 大量贼寇翻墙闯入南清宫，以三个大和尚为首包围赏花亭
15. 义侠太保刘士杰斩杀两名贼寇，小元霸鲁世杰挑战黄袍和尚不敌被杀
16. 柳金杰、柳玉杰双战黄袍和尚双双毙命，艾虎、卢珍、韩天锦先后战死
17. 八王命人给白芸瑞解开镣铐，白芸瑞接过鬼头刀与黄袍和尚激战
18. 房书安搀扶八王躲到牡丹亭，被贼寇发现并围攻
19. 房书安被踢倒滚下土坡昏迷，八王欲自刎时徐良及时赶到
20. 徐良用石子击退围攻八王的贼寇，将金丝大环刀交给白芸瑞
21. 徐良独战三个大和尚，用飞镖打伤红袍和尚，杀死青袍和尚，但最终被群贼围攻倒地

## 简化版事件列表（5条）
1. 八贤王深夜赶到乐善宫，怒斥梅贵妃干涉朝政，成功保下徐良等人并将白芸瑞带回南清宫
2. 八王安排在南清宫花园夜审白芸瑞，徐良被调虎离山之计骗离
3. 以三个大和尚为首的大量贼寇夜闯南清宫，血洗花园
4. 小七杰、小五义多人战死，白芸瑞恢复自由后与黄袍和尚激战
5. 徐良及时返回救下八王，独战三和尚并伤其一杀其一，但最终被群贼围攻倒地

## 极简版事件列表（3条）
1. 八贤王保下徐良等人并将白芸瑞带回南清宫夜审
2. 贼寇夜闯南清宫血洗花园，小七杰、小五义多人战死
3. 徐良及时返回救下八王，但最终被群贼围攻倒地

## 绘图提示词
1. 乐善宫对峙：八贤王手持瓦面金锏怒斥梅贵妃，仁宗皇帝在旁劝解，徐良等人被绑在门外
2. 南清宫夜审：八王在花园赏花亭审问白芸瑞，周围站满开封府校尉和王府卫兵
3. 血洗南清宫：黄袍和尚挥舞娃娃槊杀死鲁世杰，周围横七竖八躺着多具尸体，白芸瑞戴着手铐脚镣急得直蹦
4. 牡丹亭解围：徐良飞身跃上牡丹亭，用石子击退围攻八王的贼寇，房书安昏迷在土坡下
5. 徐良战三僧：白眉徐良手持宝剑独战三个大和尚，红袍和尚左眼受伤，青袍和尚被开膛，徐良最终被群贼围攻倒地
