## 红楼梦第110回：史太君寿终归地府，王凤姐力诎失人心

### 详细版事件列表（15条）
1. 贾母回光返照，临终前拉着宝玉、贾兰嘱托，又对凤姐说其太聪明需修福
2. 贾母寿终正寝，享年八十三岁，贾府上下举哀，圣上念及元妃祖母，赏银一千两
3. 凤姐本想好好操办贾母丧事，自认经验丰富，必能比宁府秦氏丧事办得更好
4. 鸳鸯哭求凤姐体面办理贾母后事，凤姐一口答应
5. 贾政决定将贾母剩余银两用于南边祖坟盖屋置田，不允过度花费
6. 贾琏告知凤姐银钱不在其手，外头需支银两无法及时发放
7. 邢夫人因家计艰难，故意掣肘凤姐，死拿住银两不放松
8. 凤姐因银钱不足，办事处处受限，下人消极怠工，抱怨连连
9. 王夫人责怪凤姐照应不周，邢夫人却推说本非孙子媳妇的事
10. 凤姐一肚子委屈，平儿替其排解，解释银钱受限的困境
11. 僧经道忏、上祭挂帐虽络绎不绝，但因银钱吝啬，众人草草了事
12. 李纨看出凤姐苦处，暗中吩咐自己人帮忙，感叹凤姐保不住脸面
13. 贾兰趁守灵之余仍不忘读书，众人称赞其懂事，对比宝玉的孩子气
14. 史湘云因丈夫病重只能坐夜前一日赶来，想起贾母疼他和自己命苦，悲痛不止
15. 凤姐在坐夜之日因过度劳累和委屈，急火攻心，吐血晕倒

### 简化版事件列表（5条）
1. 贾母寿终正寝，享年八十三岁，圣上赏银一千两
2. 凤姐本想体面操办丧事，却因贾政主张节俭、邢夫人掣肘而处处受限
3. 下人因银钱不足消极怠工，王夫人责怪凤姐办事不力，凤姐受尽委屈
4. 李纨体谅凤姐难处，暗中相助，贾兰趁守灵之余仍不忘读书
5. 史湘云因丈夫病重赶来奔丧，凤姐在坐夜之日急火攻心吐血晕倒

### 极简版事件列表（3条）
1. 贾母寿终正寝，享年八十三岁
2. 凤姐操办丧事因银钱不足和众人掣肘而力不从心
3. 凤姐在坐夜之日急火攻心吐血晕倒
