## 第064回 幽淑女悲题五美吟 浪荡子情遗九龙佩

### 详细版事件列表：
1. 宝玉从宁府回来，见黛玉在潇湘馆内摆炉设祭，似有心事
2. 黛玉题笔写下《五美吟》组诗，分别咏西施、虞姬、明妃、绿珠、红拂
3. 宝玉与宝钗一同欣赏《五美吟》，称赞黛玉命意新奇
4. 贾琏从外地回来，告知贾母等次日到家的消息
5. 贾母王夫人等回府后，前往宁府哭祭贾敬，贾母因此伤风
6. 贾敬送殡后，贾珍贾蓉在寺中守灵，尤氏姐妹在家照管
7. 贾琏对尤二姐动了垂涎之意，贾蓉从中撮合提议娶其做二房
8. 贾琏采纳贾蓉建议，计划在外买宅迎娶二姐而不让凤姐知道
9. 贾琏向尤老娘索要寄存银子时，暗中将汉玉九龙佩赠给尤二姐
10. 贾蓉向贾珍汇报贾琏欲娶二姐之事，贾珍表示同意
11. 贾蓉说服尤老娘和尤二姐，二姐同意嫁给贾琏
12. 贾琏等准备迎娶事宜，在小花枝巷买宅置家具
13. 贾珍赠鲍二夫妇服侍二姐，又逼张华写退婚书
14. 尤老娘给予张华二十两银子，两家正式退亲
15. 贾琏择定初三黄道吉日，准备迎娶尤二姐过门

### 简化版事件列表：
1. 黛玉在潇湘馆设祭并作《五美吟》，宝玉与宝钗一同欣赏称赞
2. 贾母等回府后前往宁府哭祭贾敬，贾母因此伤风不适
3. 贾琏对尤二姐生情，贾蓉提议娶其做二房并献谋划策
4. 贾琏向尤二姐赠送九龙佩，贾蓉说服尤老娘和二姐同意婚事
5. 贾琏准备迎娶事宜，买宅置家具，逼张华退婚

### 极简版事件列表：
1. 黛玉作《五美吟》组诗
2. 贾琏与尤二姐定情，赠送九龙佩
3. 贾琏准备迎娶尤二姐做二房
