## 《红楼梦》第070回 林黛玉重建桃花社 史湘云偶填柳絮词

### 详细版事件列表（15条）
1. 众人赏读黛玉所作《桃花行》古风诗，宝玉见诗落泪，宝琴故意说是自己所作
2. 众人议定将"海棠社"改为"桃花社"，推举林黛玉为社主，原定次日起社
3. 因次日是探春寿日，诗社活动改至三月初五举行
4. 贾政书信到，说六月中准进京，众人帮宝玉补功课，探春宝钗每日临楷书与宝玉
5. 紫鹃送黛玉临的钟王蝇头小楷给宝玉，字迹与宝玉十分相似
6. 史湘云宝琴也临帖相送，凑成足够搪塞的功课
7. 近海一带海啸，奉旨着贾政顺路查看赈济，至冬底方回，宝玉又放下书本游荡
8. 暮春之际，史湘云见柳花飘舞，作《如梦令》小令，提议起社填词
9. 黛玉响应，众人拟柳絮为题，限各色小调，各自拈阄得词牌
10. 宝玉续半首词，黛玉作《唐多令》，宝琴作《西江月》，宝钗作《临江仙》
11. 宝钗《临江仙》"好风频借力，送我上青云"获众人拍案叫绝，评为最佳
12. 窗外风筝挂竹梢，众人决定放风筝"放晦气"
13. 宝玉美人风筝放不起，黛玉指出顶线问题，紫鹃剪断黛玉风筝线以带走病根
14. 宝玉也剪断风筝线，希望与黛玉的风筝作伴
15. 探春的凤凰风筝与他人凤凰及喜字风筝绞在一起，三线齐断，风筝都飘走

### 简化版事件列表（5条）
1. 林黛玉作《桃花行》，众人重建"桃花社"推黛玉为社主
2. 贾政将归，众人帮宝玉补功课，后因贾政改期，宝玉又松懈
3. 史湘云作《如梦令》柳絮词，提议填词雅集
4. 众人填写柳絮词，宝钗《临江仙》获赞最佳
5. 众姊妹放风筝"放晦气"，黛玉剪线去病根，风筝绞在一起断了线

### 极简版事件列表（3条）
1. 林黛玉重建桃花社
2. 众人填写柳絮词
3. 姊妹们放风筝放晦气
