# 第十五回　蛇盘山诸神暗佑　鹰愁涧意马收缰

## 详细版事件列表
1. 唐僧师徒西行至腊月寒天，寒风刺骨，来到地势险峻的蛇盘山鹰愁涧前
2. 涧中白龙突然跳出水面，张牙舞爪，一口吃掉唐僧的白马后迅速潜入水中不见了踪影
3. 孙悟空发现白马被龙吃掉，与唐僧发生争执，唐僧担忧前路难行，悟空则满不在乎
4. 六丁六甲、五方揭谛等诸神现身空中，说明是观音菩萨派来暗中保护取经人的
5. 悟空怒气冲冲下涧挑战白龙，两人一番争斗，白龙不敌悟空，狼狈逃回水中不敢出来
6. 悟空见白龙躲避不出，使用翻江搅海神通，搅得涧水沸腾，迫使白龙再次出战
7. 白龙再次不敌，急中生智变作水蛇从悟空胯下逃脱，悟空唤出土地山神询问情况
8. 土地山神告知此龙是观音菩萨安排在此等候取经人的西海龙王三太子敖烈
9. 金头揭谛领命前往南海普陀山请观音菩萨前来解决此事
10. 观音菩萨脚踏祥云而来，见到悟空后先训斥其不该与白龙争斗，坏了取经大事
11. 观音唤出白龙，向唐僧师徒说明其因纵火烧毁玉帝赐予的明珠被父王告发，后被观音救下
12. 观音将白龙项下明珠摘去，用杨柳枝蘸净瓶甘露拂身，施法使其变作一匹洁白如雪的白马
13. 观音菩萨还赐予悟空三根救命毫毛，藏在脑后，许其在危难之时可叫天天应、叫地地灵
14. 师徒二人准备过鹰愁涧，恰逢渔翁（实为水神所化）撑筏前来相送，顺利过河
15. 师徒夜宿里社祠，庙祝老者（实为山神土地所化）热情接待，并赠送精美鞍辔
16. 老者送完鞍辔后化作一道金光消失不见，空中传来声音告知身份，令师徒惊讶不已
17. 师徒继续西行，在诸神暗中保护下，两个月内一路平安无事，未遇任何凶险
18. 早春时节，万物复苏，师徒行至一处楼台殿阁，金碧辉煌，准备借宿休息

## 简化版事件列表
1. 唐僧师徒行至蛇盘山鹰愁涧，唐僧的白马被涧中白龙突然跳出吃掉
2. 悟空与白龙激烈争斗，白龙不敌躲入水中不敢出来
3. 保护诸神现身，金头揭谛前往南海请观音菩萨前来化解
4. 观音菩萨点化白龙，使其变作白马，成为唐僧的坐骑
5. 师徒获赠鞍辔，白龙马正式归位，师徒继续西行

## 极简版事件列表
1. 唐僧白马被鹰愁涧白龙吃掉，悟空与其争斗
2. 观音点化白龙变作白马，成为取经坐骑

## 绘图提示词
场景：观音点化白龙成白马
描述：画面中心是庄严神圣的观音菩萨，端坐在莲花宝座上，手持杨柳枝和净瓶，祥云环绕，衣袂飘举，周身散发着金色光芒。左侧是化成人形的西海龙王三太子敖烈，身着白色龙袍，头戴金冠，正虔诚地跪在地上礼拜观音，表情恭敬而悔悟。右侧是孙悟空，手搭凉棚观望，脸上带着好奇和些许不服气的表情。背景是壮观的蛇盘山鹰愁涧，涧水清澈见底，周围云雾缭绕，山峰险峻。在观音的杨柳枝轻拂下，敖烈身上正逐渐变化，部分已显现出白马的形态。整体氛围神圣祥和，光线明亮温暖，色彩以金色、白色、青色为主，突显佛教的庄严神圣氛围。画面细节丰富，人物表情栩栩如生，场景气势恢宏，完美展现了观音点化白龙这一经典场景。
