# 第12回 退之祈雪上南坛 龙王躬身听号令

## 详细版（19项）
1. 唐宪宗时期旱魃为灾，庄稼颗粒无收，百姓苦不堪言
2. 朝廷上下着急，韩愈领旨前往南坛祈雪
3. 韩湘子得知消息，化身卓韦道人来到韩愈面前
4. 卓韦道人自称能卖雪，韩愈等人半信半疑
5. 道人要求开中门、百官迎接才肯帮忙祈雪，韩愈勉强答应
6. 道人登坛后第一件事就要猪头酒食作为祭品
7. 道人吩咐手下摆设五方桌瓮，准备祈雪仪式
8. 道人自信预言巳时会起风、午时候就会下雪
9. 到了巳时，果然刮起大风，黄叶飞舞，尘土飞扬
10. 韩愈等人归功于圣上洪福，道人笑着说功劳别先被抢了
11. 林学士担心光有风没雪，道人却胸有成竹
12. 道人从童子手中拽过青旗，向东南角招展呼唤东海龙王
13. 青旗展处，天空开始飘起鹅毛大雪，龙王现身
14. 雪越下越大，堆积如山，场景壮观异常
15. 道人说雪有三尺三寸厚，张千量后发现果然如此
16. 众官问雪是谁祈来的，韩愈说是皇上德荫，道人不满
17. 韩愈不信龙王存在，道人便唤四海龙王现出身形
18. 龙王带着虾兵蟹将现身，吓得众人魂不附体
19. 韩愈感到惭愧，想送布给道人，道人拒绝并劝其学道，最后笑着离开

## 简化版（6项）
1. 唐宪宗时期大旱，韩愈领旨祈雪
2. 韩湘子化卓韦道人，自称能卖雪，要求特殊礼遇
3. 道人设坛请神，预言巳时起风午时下雪，果然应验
4. 雪下三尺三寸，道人说是自己唤龙王送来的
5. 韩愈不信，道人唤四海龙王现身，震惊众人
6. 道人拒绝赏赐，劝韩愈学道未果，笑着离开

## 极简版（3项）
1. 韩愈领旨祈雪，湘子化道人来帮忙
2. 道人设坛唤龙王降雪，应验如神
3. 道人拒绝赏赐，劝韩愈学道
