# 第14回 闯华筵湘子谈天 养元阳退之不悟

## 详细版（24项）
1. 湘子被推出门后又隐身回到筵前，韩愈责问他是哪种道人
2. 湘子自称是五湖四海云水道人，与韩愈辩论"云水"二字含义
3. 湘子请求斋饭，韩愈让张千拿冷饭，湘子不满被"赏"字羞辱
4. 湘子得寸进尺，又要酒、要桌面、要座位
5. 韩愈故意拿虎皮交椅(自己的公座)试探，湘子坦然坐下
6. 湘子唱道情，讽刺官服不如自己的破衲衣逍遥
7. 湘子唱《古衲歌》，赞美破衲衣的神奇功能
8. 湘子表示能唤仙羊、仙鹤来庆寿，但要度韩愈出家才肯唤
9. 韩愈立誓若不跟湘子出家就"三尺雪下死，七尺雪内亡"
10. 湘子暗中安排，然后吐了一盘东西，被狗吃掉
11. 狗吃了湘子的呕吐物后变成仙鹤，众官惊讶
12. 退之让仙鹤对对联，仙鹤对答如流，还能吟诗唱歌
13. 仙鹤唱歌警告韩愈若不回头，将来会在蓝关迷路
14. 韩愈说仙鹤唱得不吉利，湘子则说日后会有验证
15. 湘子使定身法，让众人推不动他，坚持要度韩愈出家
16. 湘子又变出一只五彩仙羊，称这是"先天种子，龙虎根基"
17. 湘子解释这是"内羊"而非"外羊"，是养元阳的关键
18. 湘子唱《养羊歌》，解释养元阳的方法和重要性
19. 仙羊也口吐人言，唱了一首歌，劝人养羊(养元阳)以保健康
20. 众官惊叹湘子神通，韩愈却说是障眼法
21. 湘子用袍袖一拂，羊与鹤都不见了
22. 湘子讽刺厅后穿红袍的女眷是"狼"，会偷走元阳
23. 湘子再唱道情，用比喻警告色是"偷羊鬼"，会损伤元气
24. 韩愈怒不可遏，再次命人将湘子推出门外

## 简化版（6项）
1. 湘子再回韩府，与韩愈辩论"云水"之道，得寸进尺要吃要喝
2. 湘子坐韩愈公座唱道情，讽刺官场不如修行自在
3. 韩愈立誓若不跟湘子出家就"三尺雪下死，七尺雪内亡"
4. 湘子使法术让狗变仙鹤，鹤能说话对对联、吟诗
5. 湘子又变仙羊，讲述养元阳(养羊)的重要性和方法
6. 湘子警告色是"偷羊鬼"，会损伤元气，被韩愈再次推出门外

## 极简版（3项）
1. 湘子再回韩府谈天说地，坚持要度韩愈出家
2. 湘子变出仙鹤、仙羊，展示神通
3. 湘子教导养元阳之道，被韩愈拒绝并驱赶
