# 标题：《韩湘子名登紫府 两牧童眼识神仙》

## 详细版
1. 韩湘子脱去凡胎俗骨、修炼成仙后，高高兴兴地跟着钟离权和吕洞宾两位师父，到处游山玩水，去了海外的名山大川，还拜访了好多历代的神仙真人。
2. 有一天，正好赶上玉皇大帝开蟠桃大会，众神仙都兴高采烈地去赴会，没想到走到南天门的时候，神将把天门锁得紧紧的，就是不让他们进去。
3. 韩湘子站在旁边一看，轻轻吹了一口气，就用他的先天真气把天门上的金锁吹得哗啦啦掉下来了，众仙这才得以进入金殿参加盛会。
4. 玉皇大帝坐在宝座上，看到多了个韩湘子，就好奇地问："这个年轻人是谁啊？"钟离权赶紧上前解释说："这是我点化的鹤童转世。"
5. 玉帝听了，觉得韩湘子很有本事，就吩咐他说："你去度化你的叔父韩愈吧，他就是被贬下凡的左卷帘大将军冲和子。"
6. 韩湘子一听有点担心，怕自己没本事完成这个任务，玉帝看出他的心思，就先后赏给他好多宝贝：
   - 三道金光闪闪的金书，拿着它可以管天上、地上、人间三界的事
   - 各种神奇的神仙装备：风魔丫髻、紫罗八卦仙衣、缩地花篮、冲天渔鼓等宝贝
   - 还给了他一个响亮的封号——"开元演法大阐教化普济仙"
   - 派了马、赵两位威风凛凛的神将跟着他听令
7. 韩湘子拿到这些宝贝后，又跑到王母娘娘那里去要差事做，王母笑着给了他三面金牌，让他掌管地狱善恶、四海龙王和风云雷雨。
8. 韩湘子准备妥当后，就下凡来到人间，他怕被人认出来，就变成一个面黄肌瘦的道士，坐在一棵大树底下打坐。
9. 这时候，有两个放牛娃从这里经过，一个叫张歪头，一个叫李直腿，他们虽然年纪小，眼睛却特别尖，一眼就看到韩湘子头顶上有瑞气缭绕，立刻就认出来他是个神仙。
10. 韩湘子想考验考验这两个牧童，就让他们说："你们去给我舀点水来喝吧。"等牧童走远了，他就变成一个半死不活的老头子。
11. 牧童端着水回来，看到一个脏乎乎的老头子坐在那里，根本没认出这就是刚才的道士，还嫌他脏，想拿走他身边的钵盂。
12. 韩湘子看了直摇头，变回了原样，牧童这才认出他来，赶紧跪在地上求他度化自己，可韩湘子只是笑了笑，化作一阵清风就飞走了。

## 简化版
1. 韩湘子成仙后跟着钟吕二师游遍名山大川，然后一起去参加玉皇大帝的蟠桃大会。
2. 南天门被锁住了，韩湘子轻轻一吹，用先天真气就打开了门锁，众仙这才得以进入天庭。
3. 玉帝了解韩湘子的身份后，交给他一个任务，让他去度化被贬为韩愈的叔父。
4. 韩湘子担心自己没本事，玉帝和王母就给了他金书、法宝、封号和金牌等好多宝贝。
5. 韩湘子下凡后变成一个面黄肌瘦的道士，没想到被两个放牛娃一眼就认出是神仙。
6. 韩湘子变来变去考验牧童，看他们心地怎么样，最后化作一阵清风离开了。

## 极简版
1. 韩湘子到天庭受封，得到了玉帝和王母给的各种法宝。
2. 下凡去度化叔父韩愈，结果被两个小牧童认出是神仙。
3. 变化多端考验牧童的真心，最终化作清风离去。
