# 标题：《退之祈雪上南坛 龙王躬身听号令》

## 详细版
1. 唐宪宗年间，天下大旱得厉害，连井底都没水了，树梢都快冒烟了，老百姓们都快活不下去了。皇帝急得没办法，就传旨让大臣们去南坛祈求雨雪。韩愈站出来说："我愿意去！要是祈不下雪，我就自己烧死自己谢罪！"
2. 韩愈和林学士在南坛设坛求雪，可求了整整十三天，别说下雪了，天上连朵云都没有。没办法，他们只好张挂榜文，说谁要是有本事祈来雨雪，就奏明皇上重重有赏。
3. 韩湘子听到消息，就化名卓韦道人，打着"出卖瑞雪"的旗号来到了南坛。他抱着渔鼓，简板上明明白白写着这几个字，引来了好多人围观。
4. 有个叫王福的老儿听说真能卖雪，赶紧跑到南坛去报告韩愈。韩愈一开始还不信，后来听说这道童口气很大，觉得可能真有本事，就派锦衣卫去请他。
5. 卓韦来到南坛门口，非不肯走侧门，非要走中间的龙凤门——那可是皇帝才能走的门啊！守门的官员都吓傻了，说："连礼部尚书都不能走中门，你一个小道士怎么敢？"
6. 卓韦笑着说："我出家人左肩青龙，右肩白虎，前有朱雀，后有玄武，怎么能走小门？不开中门我就回去了！"韩愈气得直发抖，想要让人抓他，幸亏林学士劝住了。
7. 最后，韩愈没办法，只好让人开了中门，还亲自带着文武百官出来迎接。卓韦上坛后，别人问他要什么法物，他说只要几张桌子、几面旗子、几个瓦瓮，还有猪头酒肉就行。
8. 卓韦吃饱喝足后，往地上一躺，说："我要睡一觉，巳时起风，午时有雪，保证下三尺三寸厚！"众人听了都在心里偷笑，觉得这道士肯定是个骗子。
9. 没想到到了巳时，卓韦突然醒过来，从童子手里拿过红旗朝西北角一招，大喝一声："西海龙王敖英，怎么还不起风？"话音刚落，天空中立刻狂风大作，吹得树都快被连根拔起了。
10. 官员们见风来了，都高兴地说："这是皇上的洪福啊！"卓韦听了直笑："这风明明是我招来的，你们怎么抢我的功劳呢？"
11. 接着到了午时，卓韦又拿过青旗朝东南角一招："东海龙王敖闰，怎么还不送雪来？"话音未落，天空中立刻飘起了鹅毛大雪，纷纷扬扬地落了下来。
12. 雪下了半日，地上都堆得厚厚的。林学士让人拿尺子一量，不多不少正好三尺三寸厚！大家都惊得目瞪口呆。
13. 韩愈还是不肯承认卓韦的功劳，硬说是皇上的德行感动了上天。卓韦不服气，说："这雪明明是龙王送来的！"韩愈说："你骗人，龙王在哪里？"
14. 卓韦一生气，拿出黄旗朝空中一招："四海龙王，快现真身！"只见半空中立刻出现四个龙王盘旋飞舞，旁边还有数不清的虾兵蟹将。
15. 老百姓和官员们都吓得魂飞魄散，有的甚至直接跪在地上。林学士赶紧说："先生快让龙王们回去吧，别吓坏了百姓！"
16. 卓韦又摇了摇黄旗，龙王们立刻就消失了。韩愈这才有点不好意思，让张千拿十匹大布送给他。
17. 卓韦却拒绝了，笑着说："我虽然穿得破，但人可没破！我住在山上习惯了粗茶淡饭，要这些布有什么用？你还是留着赏给守边的将士吧！"
18. 韩愈又说要奏明皇上重重赏他，卓韦摇了摇头："我什么赏赐都不要，只要你能辞官跟我去修行学道，我的心愿就满足了。"
19. 韩愈一听大怒，就要让人打卓韦。卓韦却笑着说："不用麻烦你们动手。我先走了，后天就是你的寿辰，我会来祝贺你的！"
20. 韩愈气呼呼地说："我们道不同不相为谋，我不过生日，你也别来！"卓韦拍手大笑，踩着大雪就走了。

## 简化版
1. 唐宪宗时期天下大旱，韩愈和林学士在南坛求雪求了十三天，连个雪花影子都没见着，急得贴出榜文招人帮忙。
2. 韩湘子化名卓韦道人打着"出卖瑞雪"的旗号来了，非要求从皇帝才能走的中门进坛，韩愈没办法只好同意。
3. 卓韦上坛后也不着急作法，吃饱喝足就往地上一躺睡觉，说自己的阳神上天请旨去了。
4. 到了巳时卓韦准时醒过来，拽了拽红旗就招来了大风，官员们说是皇上的福气，卓韦直笑他们抢功劳。
5. 到了午时卓韦又拽了拽青旗，把东海龙王招来，转眼间鹅毛大雪就纷纷扬扬地下起来了。
6. 雪停后大家一量，不多不少正好三尺三寸厚！韩愈还嘴硬不承认是卓韦的功劳，说这是皇上感动了上天。
7. 卓韦一生气就把四海龙王都招出来作证，把在场的人都吓得够呛，林学士赶紧让卓韦把龙王们打发走。
8. 韩愈不好意思，要送布给卓韦被拒绝，卓韦说不要赏赐，只希望韩愈能辞官跟他修行。
9. 韩愈一听大怒，卓韦笑着提醒他后天是寿辰会来祝贺，然后踩着雪就走了。

## 极简版
1. 韩愈求雪十三天无果，韩湘子化名卓韦道人来帮忙。
2. 卓韦非要走中门才肯上坛，吃饱喝足后就睡觉。
3. 卓韦召来大风大雪，正好三尺三寸厚，和他说的一模一样。
4. 韩愈不承认功劳，卓韦招来四海龙王作证，吓得众人魂飞魄散。
5. 卓韦拒绝封赏劝韩愈修行被拒，提醒韩愈后天是寿辰会来祝贺，踏雪离开。
