## 第十八回 唐宪宗敬迎佛骨　韩退之直谏受贬

### 详细版（24项）：
1. 湘子在显神通后，乘坐一朵彩云升天而去。
2. 蓝采和与湘子一起变成番僧，向唐宪宗进献佛骨。
3. 唐宪宗对佛骨极为恭敬，决定亲自迎接并举行盛大的迎佛仪式。
4. 韩愈得知皇帝要迎佛骨，心中忧虑，认为这会劳民伤财。
5. 韩愈连夜写了一篇《谏迎佛骨表》，详细阐述迎佛骨的危害。
6. 韩愈在表中引用历史典故，指出东汉以来信佛的皇帝多短命。
7. 韩愈建议将佛骨投入水火之中，永绝后患。
8. 唐宪宗看了韩愈的表章后，龙颜大怒，认为韩愈冒犯了自己。
9. 宪宗立即下令将韩愈逮捕入狱，准备处死。
10. 满朝文武得知韩愈下狱，纷纷为其求情，但宪宗不为所动。
11. 丞相裴度亲自出面，以韩愈忠心耿耿为由恳请宪宗从轻发落。
12. 其他大臣也联名上书，为韩愈辩解。
13. 宪宗最终被说服，决定免去韩愈死罪，但将其贬谪到潮州。
14. 韩愈接到贬谪诏书后，虽然心中悲愤，但仍谢恩领旨。
15. 韩愈回到家中，与家人告别，准备前往潮州。
16. 韩愈的妻子窦氏得知丈夫被贬，伤心欲绝，担心潮州路途遥远且环境恶劣。
17. 韩愈安慰妻子，表示自己忠心报国，即使被贬也无怨无悔。
18. 韩愈的门生和朋友前来相送，为其鸣不平。
19. 韩愈整理行装，只带了几个随从，准备启程。
20. 韩愈在出发前，写下了著名的《左迁至蓝关示侄孙湘》一诗。
21. 韩愈带着随从离开长安，踏上前往潮州的漫漫长路。
22. 一路上，韩愈感慨万千，回忆自己的仕途经历。
23. 韩愈虽然被贬，但心中仍然关心国家大事。
24. 韩愈历经艰辛，终于到达潮州境内，准备开始新的生活。

### 简化版（6项）：
1. 韩湘子和蓝采和变成番僧向唐宪宗进献佛骨。
2. 唐宪宗决定举行盛大仪式迎接佛骨。
3. 韩愈写下《谏迎佛骨表》劝谏皇帝，触怒宪宗。
4. 韩愈被逮捕入狱，经大臣求情才免去死罪。
5. 韩愈被贬谪到潮州，与家人伤心告别。
6. 韩愈踏上前往潮州的路途，心中感慨万千。

### 极简版（3项）：
1. 唐宪宗迎佛骨，韩愈上表劝谏。
2. 韩愈触怒皇帝，被贬潮州。
3. 韩愈离家赴任，踏上艰辛路程。
