# 标题：《苦修行退之觉悟 甘守节林氏坚贞》

## 详细版
1. 潮州百姓因为韩愈赶走了害人的鳄鱼，家家户户感激不尽，给他建了生祠，每天都有人去烧香上供，把他当活神仙一样尊敬
2. 有一天湘子正在打坐，突然有个神仙过来通报说，皇帝知道韩愈被贬冤枉了，打算把他调回内地做官
3. 湘子一听就急了，心里想：叔父现在修行的决心还不坚定，要是又去做官，之前吃的那些苦可就白费了
4. 他赶紧找到退之，商量用尸解法假装去世，这样既能留下好名声，又能安心去修行
5. 退之也同意了这个办法，说自己绝不会反悔
6. 于是湘子用竹杖变成退之的尸体，盖在被子里，又让马赵两位神将护送真的退之先去秦岭等着
7. 安排好后，湘子就在衙门里大哭起来，派人通知大家韩大人突然病死了
8. 潮州的官员百姓听说韩大人去世，都伤心坏了，大家哭成一片，说这么好的官怎么就走得这么早
9. 有人议论说韩大人肯定是神仙转世，现在收了鳄鱼就回天上复命去了
10. 百姓们凑了很多丧葬费，湘子都没收，让人替大家交了税
11. 处理完后事，湘子腾云驾雾飞到秦岭，找到了退之
12. 退之赶紧问接下来去哪里修行，湘子说不能直接度化他，得先去卓韦山找沐目真人学道
13. 退之担心山路危险，害怕遇到老虎，湘子就给了他一封信，说要是遇到老虎，把信丢过去就能吓跑
14. 退之拿着信，一步步往山上爬，走得气喘吁吁
15. 正走着，突然从草丛里跳出一只大老虎！退之吓得魂都快没了，赶紧把信扔过去
16. 没想到老虎见了信，立刻变得像猫一样温顺，摇着尾巴就跑开了，退之这才松了口气，直夸侄儿真有本事
17. 又走了半天，终于到了卓韦山顶，看见一个茅庵，门上写着"卓韦精舍"
18. 退之轻轻敲门，里面有人问是谁，退之说自己是韩愈，来找沐目真人学道
19. 里面的人一开始不肯开门，说不接待做官的人，退之赶紧说是湘子指引来的，还有书信
20. 这才开了门，里面坐着个仙风道骨的真人（其实是湘子变的），看了信后就让退之留下，每天在前山殿上扫地焚香

21. 另一边，韩愈去世的消息传到了长安韩家
22. 韩清哭着跑进来告诉窦氏和芦英，说老爷在潮州病逝了
23. 窦氏和芦英听了悲痛欲绝，哭得天昏地暗，觉得命太苦了
24. 林学士也赶过来安慰，说会奏请朝廷恢复韩愈的官诰，让她们能有俸禄养老
25. 窦氏哭着说芦英还年轻，劝她改嫁找个好人家，不要守寡受委屈
26. 芦英连忙摇头，说自己宁愿守一辈子寡，也要服侍婆婆到老，报答养育之恩
27. 林学士看女儿这么坚决，也就不再劝了

28. 过了些日子，湘子和蓝采和变成两个穿得破破烂烂的道士来到韩府
29. 窦氏一看到道士就没好气，觉得又是来骗人的
30. 湘子说自己能治窦氏的病，就拿出一颗药丸让她吃下
31. 窦氏吃了药，立刻觉得精神好多了，连白头发都变黑了，直夸药灵
32. 这时候湘子变回原来的样子，说自己就是湘子
33. 窦氏又惊又喜，一把抱住他，说既然回来了就留在家里好好过日子
34. 可湘子说自己是来度化婶母出家修行的
35. 窦氏直摇头，说自己才不去修行，让湘子留在家里陪她
36. 湘子又说想去睡虎山看看以前住的小屋
37. 韩清带着他去了，只见那里荒草丛生，房子也破破烂烂的，湘子不禁感叹荣华富贵都是一场空
38. 晚上湘子坚持要在小屋里过夜，窦氏不放心，就让韩清去陪着他

## 简化版
1. 潮州百姓为韩愈建了生祠供奉，湘子担心皇帝调他回朝后修行心不坚定
2. 两人商量用竹杖变成尸体假装去世，让真的韩愈去秦岭等候
3. 百姓们听说韩大人去世都悲痛不已，湘子把大家送的丧葬费替百姓交了税
4. 湘子指引韩愈去卓韦山找沐目真人学道，还给他一封信防身
5. 韩愈路上真遇到老虎，用信吓跑了老虎，最终留在卓韦庵修行
6. 韩愈去世的消息传到长安，窦氏和芦英哭得死去活来
7. 林学士来安慰并表示会奏请恢复韩愈官诰
8. 窦氏心疼芦英年轻守寡，劝她改嫁，可芦英坚决不肯，说要服侍婆婆一辈子
9. 后来湘子和蓝采和变作道士来到韩府，用药丸治好了窦氏的病
10. 湘子表明身份，想度窦氏出家，可窦氏只希望他留在家里
11. 湘子去睡虎山旧居看了看，晚上坚持要在那里过夜，韩清奉命陪同

## 极简版
1. 潮州百姓为韩愈建生祠，湘子设计让他假死，指引去卓韦山修行
2. 韩愈路上遇虎，用湘子给的信吓跑老虎，留在庵里修行
3. 死讯传到长安，窦氏劝芦英改嫁，芦英坚决拒绝
4. 湘子变道士治好窦氏，表明身份想度她出家没成功
5. 湘子夜宿睡虎山旧居
