# 标题：《人熊驮韩清过岭 仙子传窦氏玄机》

## 详细版
1. 林圭尚书实在看不惯官场上的勾心斗角，干脆辞官不干了。
2. 韩湘子变成个小道童模样，专门来找林圭，劝他出家修道。
3. 韩清在山里迷路后，被一只浑身长毛的人熊驮到了卓韦山，还意外碰到了以前的老仆人张千。
4. 沐目真人考验了韩清一番，觉得他还需要多些历练，就让人熊又把他送回了长安。
5. 唐宪宗听说韩清是韩愈的儿子，就封他做了五经博士。
6. 在麻姑庵里，有位仙子给韩夫人和芦英详细讲了修仙要遵守的七罪三皈依道理。
7. 仙子还教她们婆媳俩修真方法，说女子修炼得先把气积在乳房里，用太阴炼形的法子。
8. 仙子唱了《步蟾宫》等曲子，给她们解释了调火候、炼丹炉这些修仙的秘诀。
9. 韩夫人婆媳听了后一下子就明白了，说一定会按仙子教的做。
10. 仙子说自己要去海外蓬莱仙岛，等回来就带她们去见西王母娘娘。
11. 韩夫人婆媳在麻姑庵一修就是两年，学会了调火候、运功法这些本事。
12. 过了两年，仙子一直没回来，婆媳俩心里着急，就趁着一个月亮很圆的晚上向上天祷告。
13. 刚祷告完，韩湘子和吕洞宾就突然从天上降下来，来检查她们的修行。
14. 吕洞宾从葫芦里倒出两粒红丹丸和三粒白丹丸，要教她们怎么服用。
15. 湘子问吕洞宾红丹和白丹有啥不一样的用法，吕洞宾就唱歌解释其中的奥妙。

## 简化版
1. 林圭被湘子点化后，跟着去出家修道了。
2. 韩清被人熊驮到卓韦山，受了些考验后回长安，还被皇帝封了五经博士。
3. 麻姑庵的仙子教韩夫人婆媳修仙要遵守的规矩和各种秘诀。
4. 婆媳俩在麻姑庵修行了两年，掌握了基本的修炼方法。
5. 湘子和吕洞宾突然来了，准备给她们仙丹帮她们成仙。

## 极简版
1. 林圭出家当道士去了。
2. 韩清回长安做了官。
3. 婆媳俩在麻姑庵认真修行。
4. 湘子和吕洞宾带仙丹来了，要帮她们成仙。
