# 标题：《虎榜上韩愈题名 洞房中湘子合卺》

## 详细版
1. 韩愈（退之）给湘子吃了神仙给的丹药后，湘子终于开口说话了，不过他只肯叫"叔父"，见到别人还是不肯开口说话
2. 韩愈去京城参加科举考试没考上，就留在京城继续读书，后来还收到了嫂子郑氏去世的消息
3. 韩愈又参加了几次科举考试，终于考中了进士，等他回家的时候，湘子已经十四岁了，还主动上前和他说话恭喜
4. 湘子说他不想读书考功名，只想跟着神仙学道修仙，还写了几首诗来表达自己想要隐居修行的想法
5. 韩愈决定给湘子娶个媳妇，好让他收收心，就找了媒人去林学士家说亲，林学士答应把女儿芦英许配给湘子
6. 阴阳先生元自虚选了个好日子，韩愈准备了丰厚的聘礼，芦英就嫁到了韩家，和湘子拜堂成了亲
7. 到了新婚之夜，湘子连衣服都没脱，就靠在小桌子上睡觉，芦英则是对着墙壁坐着，两人之间完全没有夫妻该有的感情
8. 窦氏（韩愈的妻子）看到这情况，就劝湘子去哄哄芦英，湘子却说人生无常，不想亲近女色，窦氏听了就用孝道来责备他

## 简化版
1. 湘子吃了丹药后能开口说话了，韩愈去京城参加科举考试落榜了
2. 韩愈考了三次科举终于中了进士，回家后发现湘子会说话了但不想读书考功名
3. 韩愈决定给湘子娶个媳妇，林学士把女儿芦英许配给了湘子
4. 到了新婚之夜，湘子和芦英根本没有夫妻之实

## 极简版
1. 韩愈考中进士
2. 湘子娶芦英为妻
3. 夫妻没有感情
