# 标题：《洒金桥钟吕现形 睡虎山韩湘学道》

## 详细版
1. 韩愈（退之）升官当上了刑部侍郎，就把窦氏、湘子和芦英都接到长安城里来住了
2. 一天，韩愈在洒金桥碰到了钟离权和吕洞宾两位道长，觉得他们气质非凡，就邀请他们到家里做客
3. 湘子见到两位神仙就主动作揖行礼，两位神仙一看湘子就知道他不是普通人，韩愈听说后就请他们教湘子读书练武
4. 两位神仙带着湘子到睡虎山的一个小草房里，其实并没有教他读书练武，而是教他长生不老的修炼方法，还唱着道情来传授功法秘诀
5. 韩愈问湘子跟着两位师父学了些什么，一听两位神仙教的是《黄庭经》和道情这些道家的东西，气得火冒三丈
6. 韩愈一气之下打了湘子一顿，还把两位神仙赶了出去，然后把湘子锁在书房里不让他出来
7. 湘子被锁在书房里还是坚持刻苦修炼，一边打坐一边唱道情，一点都不抱怨后悔

## 简化版
1. 韩愈升官当上了刑部侍郎，把全家人都接到长安城里住
2. 韩愈在洒金桥遇到钟离权和吕洞宾两位神仙，就请他们来教湘子
3. 两位神仙带着湘子到睡虎山，不教读书却教他修炼长生不老的方法
4. 韩愈知道后非常生气，把神仙赶走，还把湘子锁在书房里不让出来

## 极简版
1. 两位神仙现身洒金桥
2. 湘子跟着神仙学道
3. 韩愈生气赶走神仙
4. 湘子被锁仍坚持苦修
