# 标题：《砍芙蓉暗讽芦英 候城门众讥湘子》

## 详细版
1. 韩愈的妻子窦氏因为湘子和芦英结婚三年了还没孩子，心里很着急，就故意借砍芙蓉树来拐弯抹角地讽刺芦英不会生孩子
2. 芦英一听就明白了窦氏的意思，连忙辩解道：这又不是我的错，是因为湘子对我冷冰冰的，就像懒牛不肯耕地一样，哪能有收成呢
3. 窦氏把湘子从书房叫过来当面质问他，湘子却念了首诗说自己要修仙养气，不想传宗接代延续子孙
4. 窦氏哭着劝湘子要为韩家延续香火，湘子却引用佛教的道理说，妻子就像牢狱一样让人被困住，自己想要脱离尘世的束缚
5. 韩愈回来后知道湘子被放出来了，就质问他最近读的什么书，湘子还引用孔子的话来反驳他
6. 韩愈气得不行，抄起竹片就打湘子，窦氏赶紧跪下求情，韩愈这才停下手来
7. 湘子回到书房里闷闷不乐，两个当差的仆人就给他出各种主意，让他去喝酒、逛妓院散散心
8. 湘子一口拒绝了这些建议，还念了首诗说酒色财气都是害人的东西，人生就像是在愁城里过日子一样苦
9. 到了半夜，湘子觉得不能再这样下去了，就偷偷翻墙逃跑了，临走前还拜别了婶娘和妻子，留下了一首诗表明心意
10. 第二天韩愈发现湘子逃跑了，伤心地大哭起来，赶紧让仆人贴出告示在各处寻找湘子
11. 湘子在城门外等城门开的时候，被一群市井百姓指指点点嘲笑，有人说他是骗子，有人说他是逃犯，还有人说他是被家里赶出来的
12. 城门一开，湘子就唱着道情头也不回地离开了，下定决心要去山中学道修行

## 简化版
1. 窦氏借砍芙蓉树讽刺芦英不会生孩子，芦英辩解说都是因为湘子对她不好
2. 湘子坚持说自己要修仙不想传宗接代，韩愈气得打了他一顿
3. 湘子趁半夜翻墙逃跑了，韩愈发现后大哭，派人四处寻找
4. 湘子在城门外被众人嘲笑，但他还是唱着道情去山中学道了

## 极简版
1. 湘子因为想修仙和家人闹矛盾
2. 半夜翻墙逃跑去学道
