# 标题：《自夸诩龟鹭罹灾 唱道情韩湘动众》

## 详细版
1. 韩湘子隐身藏在湘江岸边的绿杨树下，这里正好是他前世做白鹤时和香獐一起玩耍的地方。没想到，他遇见了被贬在深潭底已经受苦18年的香獐。
2. 香獐一看到湘子身边有霞光，就知道是神仙来了，赶紧喊着救命。它一眼就认出湘子是前世的伙伴鹤童，连忙求他度化自己。可湘子为难地说："没有玉帝旨意，我可不敢随便度化你。"只给了它交梨火枣这两种能增强修为的仙果。
3. 江潭里有只活了上百年的金线绿毛龟和一只白鹭鸶碰到了一起，这两个家伙你一言我一语地互相夸耀，都说自己最厉害，争得面红耳赤。
4. 白鹭鸶骄傲地说："你看我浑身雪白的羽毛，多漂亮！站在水里一眼就能看到鱼，多厉害！"绿毛龟也不甘示弱，昂着头说："我身上全是金线，闪闪发光，肚子里还装着八卦呢，比你强多了！"
5. 它们正吵得不可开交的时候，突然一个猎户走过来，看到白鹭鸶站在那里，二话不说就搭弓射箭，"嗖"的一声，白鹭鸶就被射死了。紧接着，一个渔翁划着小船过来，看到绿毛龟在水里，拿起铁叉就叉了过去，可怜的绿毛龟也被叉死了。
6. 湘子在旁边看得一清二楚，忍不住感叹："真是一饮一啄都是命中注定啊！"突然他一拍脑袋，哎呀，自己太着急下凡，都没跟师父辞别呢，这可不好，赶紧腾云驾雾回洞府去了。
7. 湘子见到钟离权和吕洞宾两位师父，连忙把自己领旨度化韩愈的事说了一遍。二师摸着胡子教他："韩愈现在做着大官，享着荣华富贵，哪能轻易就放弃这些去修行？你要从多个方面点化他，如果三次都不能让他回心转意，就把圣旨缴回来吧。"
8. 湘子听完师父的教导，下山后摇身一变，变成一个面皮黄瘦、疯疯癫癫的道士，手里拿着渔鼓和简板，在街头一边敲一边唱起了道情。
9. 他唱了《浪淘沙》《遍地锦》等好听的曲儿，歌词里劝大家不要贪酒色财气这些坏东西，要早点修行。周围的人都被吸引过来，围了个里三层外三层，听得津津有味。
10. 有人看他唱得好，就给他送酒、送钱、送东西。湘子只拿了几个果子吃，其他的酒啊、钱啊、衣服鞋子什么的，都随手分给了路边的乞丐。
11. 大家看他不肯收钱，就一个劲地劝他喝酒："师父，这酒是我们的一片心意，你就喝几杯吧！"湘子推辞不过，就喝了几杯，然后假装醉倒在地上，一边迷迷糊糊地唱着道情，一边说："我是永平州昌黎县的人，家住在蓬莱仙境..."
12. 唱完后，湘子摇摇晃晃地站起来，转身就走。大家觉得这个疯道士特别有意思，都笑着说："你看这个疯子！"然后一个接一个地跟着他，想看他要去哪里。

## 简化版
1. 韩湘子在湘江岸边遇到了前世的伙伴香獐，香獐求他度化，可湘子说没有旨意不敢随便度化，只给了它一些能增强修为的仙果。
2. 江潭里有只金线绿毛龟和一只白鹭鸶碰到一起，它们互相夸耀自己有多厉害，结果一个被猎户射死，一个被渔翁用铁叉叉死了。
3. 湘子感叹这都是命中注定的，然后突然想起自己没跟师父辞别，赶紧回洞府向钟离权和吕洞宾两位师父说明了情况。
4. 师父教湘子要从多个方面点化韩愈，如果三次都不行就缴回圣旨。之后湘子变成一个疯疯癫癫的道士，在街头唱道情劝人不要贪酒色财气。
5. 大家觉得他唱得好，就给他送酒送钱送东西，湘子只吃了几个果子，其他的都分给了乞丐。大家劝他喝酒，湘子喝了几杯后假装醉倒在地上。
6. 湘子一边唱一边说自己是永平州昌黎县的人，唱完后转身就走，大家都觉得这个疯道士很有趣，就跟着他跑。

## 极简版
1. 韩湘子遇到前世伙伴香獐，因为没有旨意，只给了它仙果。
2. 金线绿毛龟和白鹭鸶互相夸耀引来了杀身之祸，湘子感叹因果报应。
3. 湘子告别师父后，变成疯道士在街头唱道情劝化众人。
