# 标题：《闯华筵湘子谈天 养元阳退之不悟》

## 详细版
1. 韩湘子被推出门后又走了进来，韩愈问他是哪种道人
2. 韩湘子说自己是五湖四海云水道人，和韩愈讨论起"云水"的含义
3. 韩湘子说自己的云水是仙水，可以东流也可以西流
4. 韩湘子向韩愈要斋饭，韩愈叫人拿冷饭，韩湘子觉得不尊重
5. 韩湘子又要酒、要桌面、要坐椅，韩愈都不情愿地给了
6. 韩湘子坐在虎皮交椅上，唱道情说自己的破衲衣比官服好
7. 韩湘子说能叫来仙羊、仙鹤为韩愈庆寿，但需要韩愈立誓出家
8. 韩愈指天发誓说如果不肯出家就三尺雪下死、七尺雪内亡
9. 韩湘子吐了一盘东西，一只狗吃了后变成了仙鹤
10. 仙鹤还会说话、对对联、吟诗，劝韩愈学道
11. 韩湘子又招来一只仙羊，说这是先天种子、龙虎根基
12. 仙羊也会唱歌，劝人保养元气
13. 韩愈听了大怒，再次叫人把韩湘子叉出门外

## 简化版
1. 湘子被推出门后又悄悄回到宴席上，和韩愈争论"云水"的真正含义，说得韩愈哑口无言。
2. 湘子厚着脸皮跟韩愈要饭要酒，还得寸进尺要桌子座位，韩愈故意拿金钉马凳和虎皮交椅刁难他，可他坐得稳稳当当。
3. 湘子唱起《古衲歌》猛夸自己的破衲衣，还大言不惭说要度韩愈出家当道士，气得韩愈又把他叉出去了。
4. 第二天湘子又来了，韩愈指着天发誓说要是真见到仙鹤、仙羊就跟他出家，没想到湘子真的让狗变成了会说话的仙鹤！
5. 湘子又召唤出能唱歌的仙羊，唱起《养羊歌》教韩愈保养元气的方法，还唱道情劝他不要贪恋女色。
6. 韩愈觉得这都是骗人的把戏，越听越生气，再次让人把湘子叉出了门外。

## 极简版
1. 再次上门论道
2. 展示仙鹤仙羊
