# 第十六回 入阴司查勘生死 召仙女庆祝生辰

## 详细版
1. 湘子在韩愈的酒宴上喝了三杯酒，假装醉倒在地上，实际上是灵魂出窍前往阴司地府。
2. 湘子因为担心韩愈贪恋高官厚禄不肯回头，怕他寿命无常，所以特意去阴司查看韩愈的阳寿和官禄情况。
3. 湘子的灵魂来到鬼门关，众鬼神都前来迎接，场面十分隆重。
4. 湘子在森罗殿上查看生死簿，找到了韩愈的名字，上面详细记录了他的生平经历和未来命运。
5. 湘子看到韩愈还有很多官禄，决定把他的名字从生死簿上涂抹掉，同时也涂抹了林圭的名字。
6. 十殿阎君担心这样做会被玉帝怪罪，湘子解释说韩愈和林圭都是被贬谪的神仙，现在谪限将满，应该回位。
7. 湘子离开阴司返回阳间，继续和韩愈说话。
8. 韩愈发现被湘子用被子盖住的小道人变成了一只装满酒的大缸，十分惊讶。
9. 湘子告诉韩愈他只查到韩愈还有一年多阳寿，明年会遭贬谪，但如果跟着修行就能长生不老。
10. 韩愈根本不相信湘子的话，认为他是在胡说八道，愤怒地要把他赶出去。
11. 湘子被赶出后又想回来，守门的张千、李万不肯让他进，他就用仙术让两人睡着了。
12. 湘子再次进入，韩愈又要让人打他，湘子用"金蝉脱壳"的法术让林学士的仆人王小二替自己挨打。
13. 林学士看到仆人被打，十分不满，湘子解释说这是为了给王小二消灾。
14. 韩愈要求湘子拿出仙家的奇异物件来给自己上寿，否则就是在说大话。
15. 湘子从袖子里取出一幅仙画，画有许多美女，声称这是活的画，人物可以叫下来。
16. 湘子用手一指，画中的两个仙女果然走了下来，向众人问好。
17. 仙女为众人唱歌，歌词都是劝人放下功名、出家修行的内容。
18. 唱完后这两个仙女隐形消失，画中也不见了她们的身影。
19. 湘子又让另外两个仙女下来唱歌，她们同样唱了劝人修行的歌曲。
20. 韩愈听了很生气，认为她们是在说自己做官不好，要把她们叉出去。
21. 仙女们继续唱歌，韩愈更加愤怒，要把她们送到法司治罪。
22. 最后，当韩愈下令叉走仙女时，仙女们化作一阵清风消失了，墙上的画也变成了一张白纸。
23. 韩愈气得暴跳如雷，认为湘子是在故意羞辱自己。

## 简化版
1. 湘子假装醉酒，灵魂出窍前往阴司查看韩愈的阳寿和官禄。
2. 湘子在生死簿上查到韩愈还有一年多阳寿，明年会遭贬谪，便涂抹了他和林圭的名字。
3. 返回阳间后，湘子告诉韩愈他寿命不长，但可以通过修行长生不老，韩愈根本不信。
4. 湘子被赶出后又用仙术让守门人睡着，再次进入韩愈家。
5. 韩愈要打湘子，湘子用"金蝉脱壳"让王小二替自己挨打。
6. 湘子拿出一幅仙画，叫出画中仙女为韩愈唱劝修歌曲，最后仙女消失，画变成白纸，韩愈大怒。

## 极简版
1. 湘子灵魂出窍到阴司查看韩愈的寿命和官禄。
2. 湘子告诉韩愈他只有一年多阳寿，劝他修行，韩愈不信。
3. 湘子用仙画和仙女劝韩愈修行，韩愈大怒。
