# 标题：《香獐幸脱离水厄 韩林齐证圣超凡》

## 详细版
1. 吕洞宾跟韩湘子说，他的功德修行差不多要圆满了，就差最后一件事没完成。
2. 韩湘子说起自己前世的事：那时候他是雉衡山上一只白鹤，和一只香獐一起修炼，在湘江岸边遇到了钟离权和吕洞宾两位神仙。
3. 韩湘子赶紧低头求神仙度化自己，可香獐却不知天高地厚，还在神仙面前耍小聪明，结果被吕洞宾贬到江潭底下去了。
4. 韩湘子念咒语把马元帅召来，让他从苍梧郡湘江的深潭底下把香獐救了上来。
5. 香獐一看到吕洞宾就吓得魂都快没了，一个劲儿地磕头求饶，还求韩湘子度化它成仙。
6. 韩湘子说香獐现在只能先做个守山大神，等以后功德修够了，再度它成仙。
7. 吕洞宾给大家讲了金丹有多珍贵，说这金丹能夺天地间的造化之力，要把两粒红丹给窦氏和芦英，三粒白丹给张千、李万和香獐。
8. 香獐觉得奇怪，问为什么丹有红有白，是不是厚此薄彼。吕洞宾解释说，这是因为每个人的根基不同，不是故意偏向谁。
9. 张千、李万也被召过来了，大家见了面都很高兴，韩愈也来了，一家人终于团聚。
10. 吕洞宾把每个人的前世都说了出来：窦氏本来是圣母下凡，芦英是凌霄殿的玉女。
11. 张千、李万因为对主人忠心耿耿，所以也得到了赏赐。
12. 大家都恭恭敬敬地接过仙丹吃了下去。
13. 韩湘子想起父母韩会、郑氏还没被超度，有点难过。吕洞宾安慰他说，一个儿子升仙，九族都会跟着升天。
14. 话刚说完，钟离权就捧着玉皇大帝的圣旨从天上降下来，当场宣读圣旨，封大家各自回到原来的仙位。
15. 韩会、郑氏的魂魄也回到阳间，全家人终于团圆了，又哭又笑的。
16. 众位神仙一起唱起《青天歌》，庆祝这圆满的时刻。
17. 张千、李万还要再转世为人，二十四年后才能成真仙；香獐做了守山灵，等着以后被点化成仙。

## 简化版
1. 韩湘子把前世的伙伴香獐从江底救上来，让它做了守山大神。
2. 吕洞宾把不同的仙丹分给大家，还说出了每个人的前世身份。
3. 钟离权带来玉皇大帝的圣旨，封大家都回了仙位。
4. 韩会、郑氏的魂魄也回来了，全家人终于团聚。
5. 张千、李万和香獐还要继续修行，以后才能真正成仙。

## 极简版
1. 救了香獐让它做山神。
2. 大家都吃了仙丹。
3. 玉皇大帝封大家当神仙。
4. 韩家全家团圆了。
5. 所有人都有了好结果。
